file_name,text
jászsság1.jpg,green floral design inside a rounded triangle from jaszssag
jászsság10.jpg,green symmetrical pattern with leaves and flowers from jaszssag
jászsság11.jpg,green symmetrical pattern with leaves and circular flowers from jaszssag
jászsság12.jpg,green symmetrical pattern with thick leaves and flowers from jaszssag
jászsság13.jpg,green symmetrical pattern with flowers from jaszssag
jászsság14.jpg,green symmetrical pattern with leaves and flowers and space between the items from jaszssag
jászsság15.jpg,green symmetrical pattern with thick leaves and flowers from jaszssag
jászsság16.jpg,light green symmetrical pattern with leaves and flowers from jaszssag
jászsság17.jpg,green symmetrical pattern with leaves and flowers from jaszssag
jászsság18.jpg,green symmetrical pattern with flowers from jaszssag
jászsság19.jpg,green symmetrical pattern with long chain of leaves and circular flowers from jaszssag
jászsság2.jpg,green symmetrical pattern with big flowers from jaszssag
jászsság20.jpg,green floral design with thin lines
jászsság21.jpg,coat of arms of jaszssag with two birds and a crown and flowers
jászsság22.jpg,green design of diferent flowers around a thick branch from jaszssag
jászsság23.jpg,green symmetrical pattern with flowers from jaszssag
jászsság24.jpg,green symmetrical pattern with flowers from jaszssag
jászsság25.jpg,light green symmetrical pattern with leaves and flowers from jaszssag
jászsság26.jpg,a grid of 9 items used in jaszssag design patterns
jászsság27.jpg,a group of different flower shapes in light green from jaszssag
jászsság28.jpg,a group of different flower shapes in light green from jaszssag
jászsság29.jpg,a group of different flower shapes in light green from jaszssag
jászsság3.jpg,a green and red design with leaves from jaszssag
jászsság4.jpg,light green floral design inside a rounded triangle from jaszssag
jászsság5.jpg,edge pattern design in green from jaszssag
jászsság6.jpg,a green and red design with flower and a small face on top from jaszssag
jászsság7.jpg,green floral design inside a rounded triangle from jaszssag
jászsság8.jpg,rounded edge design in light green from jaszssag
Kalotaszeg.jpeg,6 horizontal design patterns with leaves and branches from Kalotaszeg
Kalotaszeg1.jpeg,9 horizontal design patterns with leaves and branches from Kalotaszeg
Kalotaszeg10.jpg,red plant design from Kalotaszeg
Kalotaszeg11.jpeg,floral design pattern from Kalotaszeg
Kalotaszeg12.jpeg,floral design pattern from Kalotaszeg
Kalotaszeg13.jpeg,floral design pattern from Kalotaszeg
Kalotaszeg14.jpeg,13 horizontal design patterns with leaves and branches from Kalotaszeg
Kalotaszeg15.jpeg,floral design pattern from from Kalotaszeg
Kalotaszeg16.jpeg,symmetrical floral design pattern from  Kalotaszeg
Kalotaszeg17.jpeg,symmetrical floral design pattern from Kalotaszeg
Kalotaszeg18.jpeg,symmetrical floral design pattern with leaves from Kalotaszeg
Kalotaszeg19.jpeg,floral design pattern from Kalotaszeg
Kalotaszeg2.jpeg,two floral designs with leaves from Kalotaszeg
Kalotaszeg2.jpg,one flower and two branches in red from Kalotaszeg
Kalotaszeg21.jpg,black design pattern from Kalotaszeg
Kalotaszeg22.jpg,dark black design from Kalotaszeg
Kalotaszeg23.jpg,6 horiozntal embriodery designs from Kalotaszeg
Kalotaszeg24.jpg,design of edge pattern from Kalotaszeg
Kalotaszeg25.jpg,design of edge pattern from Kalotaszeg
Kalotaszeg26.jpg,red design of three flowers and two curled branches with leaves from Kalotaszeg
Kalotaszeg27.jpg,red design of three flowers and two curled branches with leaves from Kalotaszeg
Kalotaszeg28.jpg,red design of one flower and two straight branches with leaves and two curled branches with leaves from Kalotaszeg
Kalotaszeg29.jpg,red design of one flower and two straight branches with leaves and two curled branches with leaves from Kalotaszeg
Kalotaszeg3.jpeg,two floral designs with leaves from Kalotaszeg
Kalotaszeg3.jpg,five red flowers design from Kalotaszeg
Kalotaszeg30.jpg,red design of three flowers and two curled branches with leaves from Kalotaszeg
Kalotaszeg31.jpg,red design of flowers from Kalotaszeg
Kalotaszeg32.jpg,red design of three tall thick branches from Kalotaszeg
Kalotaszeg33.jpg,three red oval leaves design from Kalotaszeg
Kalotaszeg34.jpg,red plant design from Kalotaszeg
Kalotaszeg35.jpg,red plant design from Kalotaszeg
Kalotaszeg36.jpg,top edge of a red floral design from Kalotaszeg
Kalotaszeg4.jpeg,6 horiozntal embriodery designs from Kalotaszeg
Kalotaszeg4.jpg,edge pattern design from Kalotaszeg
Kalotaszeg5.jpg,vertical embroidery pattern from Kalotaszeg
Kalotaszeg6.jpg,vertical embroidery pattern from Kalotaszeg
Kalotaszeg7.jpg,vertical embroidery pattern from Kalotaszeg
Kalotaszeg8.jpg,vertical embroidery pattern from Kalotaszeg
Kalotaszeg9.jpg,edge pattern design from Kalotaszeg
KalotaszegCROP.jpeg,floral design pattern from Kalotaszeg
KalotaszegCROP2.jpeg,floral design pattern from Kalotaszeg
KalotaszegCROP3.jpeg,floral design pattern from Kalotaszeg
KalotaszegMalonyai.jpeg,three circular flowers and 2 flowers and leaves design from Kalotaszeg Malonyai
KalotaszegMalonyai2.jpeg,floral design pattern with lots of curved lines from Kalotaszeg Malonyai
KalotaszegMalonyai3.jpeg,curved design with plants and flowers from Kalotaszeg Malonyai
KalotaszegMalonyai4.jpeg,symmetrical floral design with two circular flowers from Kalotaszeg Malonyai
KalotaszegMalonyai5.jpeg,symmetrical floral design with two large flowers from Kalotaszeg Malonyai
Kalotaszeg_Malonyai1.jpeg,symmetrical floral design with four circular flowers from Kalotaszeg Malonyai
képeslapok_957579.jpg,"red, pink, purple, and orange flower design from kepeslapok"
képeslapok_957579CROP.jpg,violet flowers design from kepeslapok
képeslapok_957579CROP10.jpg,pink orange and purple circular flowers from kepeslapok
képeslapok_957579CROP11.jpg,yellow orange blue and purple flower design from kepeslapok
képeslapok_957579CROP12.jpg,purple orange red and pink flower design from kepeslapok
képeslapok_957579CROP2.jpg,pink purple yellow flowers from kepeslapok
képeslapok_957579CROP3.jpg,pink purple yellow flowers from kepeslapok
képeslapok_957579CROP4.jpg,pink yellow orange purple flower design from kepeslapok
képeslapok_957579CROP5.jpg,lavender pink yellow and orange flower design from kepeslapok
képeslapok_957579CROP6.jpg,pink orange purple and red flower design from kepeslapok
képeslapok_957579CROP7.jpg,pink purple red flower design from kepeslapok
képeslapok_957579CROP8.jpg,pink purple red orange lavender flower design from kepeslapok
képeslapok_957579CROP9.jpg,orange yellow lavender flower design from kepeslapok
Mezőség_Erdély.jpg,spikey plants design pattern from Mezooseeg Erdely
Mezőség_ErdélyCROP.jpg,symmetrical design pattern repeating 4 times from Mezooseeg Erdely
mintakönyv.jpg,thin line floral art design pattern from mintakonyv
mintakönyv1.jpg,thin line floral art design pattern from mintakonyv
mintakönyv3.jpg,thin line floral art design pattern from mintakonyv
nagykun1.jpg,three red and white items placed in a red pink and green pattern from nagykun
nagykun10.jpg,frame design with floral patterns from nagykun
nagykun11.jpg,edge pattern design with two multicolored circle designs from nagykun
nagykun12.jpg,two vertical similar inner patterns and two vertical similar outer patters from nagykun
nagykun13.jpg,hungarian coat of arms on top of two round designs and a flower at the bottom from from nagykun
nagykun14.jpg,
nagykun15.jpg,three vertical multicolor patterns from nagykun
nagykun16.jpg,what looks like a gate surrounded by green and black leaves from nagykun
nagykun17.jpg,four shapes from nagykun which are all connected to floral art
nagykun18.jpg,three symmetrical nagykun design patterns 
nagykun19.jpg,six nagykun design edge pattern designs 
nagykun1CROP.jpg,
nagykun2.jpg,
nagykun20.jpg,four floral desgisn patterns with central focus from nagykun
nagykun21.jpg,two nagykun edge design patterns
nagykun22.jpg,three nagykun design patterns with flowers and leaves
nagykun23.jpg,four floral pattern edge designs from nagykun
nagykun24.jpg,centerpiece design with flowers and leaves from nagykun
nagykun25.jpg,centerpiece design and two edge design patterns with the hungarian coat of arms in the middle from nagykun 
nagykun26.jpg,three designs from nagykun one of an owl and two edge design patterns
nagykun27.jpg,four floral designs with leaves and the hungarian coat of arms from nagykun
nagykun28.jpg,five floral designs with similar centers from nagykun
nagykun29.jpg,three edge flower designs and an emblem of hungary surrounded by leaves and flowers from nagykun
nagykun3.jpg,
nagykun30.jpg,one symmetrical design and an edge design pattern from nagykun
nagykun31.jpg,two symmetrical designs with flowers and leaves with the bottom one including the emblem of hungary from nagykun 
nagykun32.jpg,two large design patters and one edge design all with flowers and leaves from nagykun
nagykun4.jpg,
nagykun5.jpg,
nagykun6.jpg,
nagykun7.jpg,
nagykun8.jpg,
nagykun9.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_08.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_08CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_09.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_09CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_10.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_10CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_11.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_11CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_12.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_12CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_12CROP2.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_13.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_13CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_14.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_14CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_15.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_16.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_16CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_17.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_17CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_17CROP2.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_18.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_18CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_19.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_19CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_20.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_20CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_21.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_22.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_22CROP.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_23.jpg,
PalotayGertrúd_EM-1942_47_04epa_516-529_Page_23CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_091.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_091CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_091CROP2.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_092.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_092CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_093.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_093CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_093CROP2.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_094.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_094CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_095.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_095CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_096.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_096CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_097.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_097CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_098.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_098CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_099.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_099CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_100.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_100CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_101.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_102.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_102CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_103.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_103CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_104.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_104CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_105.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_105CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_106.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_106CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_107.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_107CROP.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_108.jpg,
PalotayGertrúd_Mezőségimagyarhímzések_07867_Page_108CROP.jpg,
Somogy1.jpg,
Somogy2.jpg,
Somogy3.jpg,
Somogy5.jpg,
Somogy6.jpg,
Somogy7.jpg,
Somogy9.jpg,
Székely_keresztszemes1.jpg,
Székely_keresztszemes10.jpg,
Székely_keresztszemes11.jpg,
Székely_keresztszemes12.jpg,
Székely_keresztszemes13.jpg,
Székely_keresztszemes14.jpg,
Székely_keresztszemes15.jpg,
Székely_keresztszemes16.jpg,
Székely_keresztszemes17.jpg,
Székely_keresztszemes18.jpg,
Székely_keresztszemes19.jpg,
Székely_keresztszemes2.jpg,
Székely_keresztszemes20.jpg,
Székely_keresztszemes21.jpg,
Székely_keresztszemes22.jpg,
Székely_keresztszemes23.jpg,
Székely_keresztszemes24.jpg,
Székely_keresztszemes25.jpg,
Székely_keresztszemes26.jpg,
Székely_keresztszemes3.jpg,
Székely_keresztszemes4.jpg,
Székely_keresztszemes5.jpg,
Székely_keresztszemes6.jpg,
Székely_keresztszemes7.jpg,
Székely_keresztszemes8.jpg,
Székely_keresztszemes9.jpg,
Szilágyság1.jpg,
Szilágyság10.jpg,
Szilágyság11.jpg,
Szilágyság12.jpg,
Szilágyság13.jpg,
Szilágyság14.jpg,
Szilágyság15.jpg,
Szilágyság15CROP.jpg,
Szilágyság16.jpg,
Szilágyság17.jpg,
Szilágyság17CROP.jpg,
Szilágyság18.jpg,
Szilágyság19.jpg,
Szilágyság2.jpg,
Szilágyság20.jpg,
Szilágyság21.jpg,
Szilágyság22.jpg,
Szilágyság23.jpg,
Szilágyság24.jpg,
Szilágyság25.jpg,
Szilágyság26.jpg,
Szilágyság27.jpg,
Szilágyság28.jpg,
Szilágyság29.jpg,
Szilágyság3.jpg,
Szilágyság30.jpg,
Szilágyság31.jpg,
Szilágyság32.jpg,
Szilágyság4.jpg,
Szilágyság5.jpg,
Szilágyság6.jpg,
Szilágyság7.jpg,
Szilágyság8.jpg,
Szilágyság9.jpg,
titles.txt,
UndiMariska_sárközi1.jpg,
UndiMariska_sárközi10.jpg,
UndiMariska_sárközi11.jpg,
UndiMariska_sárközi12.jpg,
UndiMariska_sárközi13.jpg,
UndiMariska_sárközi14.jpg,
UndiMariska_sárközi15.jpg,
UndiMariska_sárközi16.jpg,
UndiMariska_sárközi17.jpg,
UndiMariska_sárközi18.jpg,
UndiMariska_sárközi2.jpg,
UndiMariska_sárközi3.jpg,
UndiMariska_sárközi4.jpg,
UndiMariska_sárközi5.jpg,
UndiMariska_sárközi6.jpg,
UndiMariska_sárközi7.jpg,
UndiMariska_sárközi8.jpg,
UndiMariska_sárközi9.jpg,
zoboralja1.jpg,
zoboralja10.jpg,
zoboralja11.jpg,
zoboralja12.jpg,
zoboralja2.jpg,
zoboralja4.jpg,
zoboralja5.jpg,
zoboralja6.jpg,
zoboralja9.jpg,
